순서,출원번호,출원일자,공개번호,공개일자,공고번호,공고일자,등록번호,등록일자,발명의명칭,IPC분류,출원인,요약
11,16725064,2019.12.23,20200242411,2020.07.30,20200242411,2020.07.30,,,"LEARNING METHOD AND LEARNING DEVICE FOR SWITCHING MODES OF AUTONOMOUS VEHICLE BASED ON ON-DEVICE STANDALONE PREDICTION TO THEREBY ACHIEVE SAFETY OF AUTONOMOUS DRIVING, AND TESTING METHOD AND TESTING DEVICE USING THE SAME","G06K9/62,G06K9/00,G06N3/04,G06N3/08,G05D1/00","StradVision, Inc.","A learning method for generating parameters capable of representing a degree of credibility of an object detection during a process of the object detection is provided. And the method includes steps of: (a) a learning device instructing a convolutional layer to generate a convolutional feature map by applying a convolutional operation to a training image; (b) the learning device instructing an anchor layer to generate an RPN confidence map including RPN confidence scores; (c) the learning device instructing an FC layer to generate CNN confidence scores, to thereby generate a CNN confidence map; and (d) the learning device instructing a loss layer to learn parameters in the CNN and the RPN by performing backpropagation using an RPN loss and a CNN loss, generated by referring to the RPN confidence map, the CNN confidence map, an estimated object detection result and a GT object detection result."
12,16725064,2019.12.23,,,10726303,2020.07.28,10726303,2020.07.28,"Learning method and learning device for switching modes of autonomous vehicle based on on-device standalone prediction to thereby achieve safety of autonomous driving, and testing method and testing device using the same","G06K9/62,G06K9/00,G06N3/08,G05D1/00,G06N3/04","StradVision, Inc.","A learning method for generating parameters capable of representing a degree of credibility of an object detection during a process of the object detection is provided. And the method includes steps of: (a) a learning device instructing a convolutional layer to generate a convolutional feature map by applying a convolutional operation to a training image; (b) the learning device instructing an anchor layer to generate an RPN confidence map including RPN confidence scores; (c) the learning device instructing an FC layer to generate CNN confidence scores, to thereby generate a CNN confidence map; and (d) the learning device instructing a loss layer to learn parameters in the CNN and the RPN by performing backpropagation using an RPN loss and a CNN loss, generated by referring to the RPN confidence map, the CNN confidence map, an estimated object detection result and a GT object detection result."
13,16936897,2020.07.23,20200357285,2020.11.12,20200357285,2020.11.12,,,APPARATUS AND METHOD FOR PREVENTING INCORRECT BOARDING OF AUTONOMOUS DRIVING VEHICLE,"G08G1/00,H04W4/46,G08B25/01",LG ELECTRONICS INC.,"A method and an apparatus for preventing an incorrect boarding of an autonomous driving vehicle are disclosed. The method includes calling a first vehicle, acquiring positional information of the first vehicle and positional information of a passenger terminal, determining that a passenger boards a second vehicle when a position of the passenger terminal is continuously changed and a position of the first vehicle and the position of the passenger terminal are farther than a preset distance after a time point when the first vehicle is called, displaying a message inquiring whether to transfer to the first vehicle on a display of the passenger terminal, and transmitting a response to the message to a server."
14,16494724,2019.04.26,,,11367169,2022.06.21,11367169,2022.06.21,Method for processing picture of automatic driving vehicle,"G06T5/50,G06T7/70,B60W60/00,B60W50/00,B60W50/02,G06T7/20,G06N3/04",LG ELECTRONICS INC.,"Disclosed herein is a method for processing a picture of an automatic driving vehicle. The method for processing a picture of an automatic driving vehicle according to an embodiment of the present disclosure includes obtaining a first image from a camera while a vehicle on which the camera is driving, generating a prediction signal for predicting a sign of occurrence of White-Out from the first image, when a quantity of light which is a threshold brightness or higher from the first image, storing the first image during a first period when the prediction signal is generated, and predicting and correcting a second image based on the first image stored during the first period and a correction model, when the second image in which the White-Out occurs in the first image is detected on a specific time during the first period, and the correction model is a result of learning the second image by processing high dynamic range (HDR) image. At least one of the automatic driving vehicle according to the present disclosure, a user terminal and a server may be linked with artificial intelligence, robot, Augmented Reality (AR), virtual reality (VR), and the like."
15,16494724,2019.04.26,20210366088,2021.11.25,20210366088,2021.11.25,,,METHOD FOR PROCESSING PICTURE OF AUTOMATIC DRIVING VEHICLE,"G06T5/50,G06T7/20,G06T7/70,B60W60/00,B60W50/00,B60W50/02","LG ELECTRONICS INC.,LG ELECTRONICS INC.","Disclosed herein is a method for processing a picture of an automatic driving vehicle. The method for processing a picture of an automatic driving vehicle according to an embodiment of the present disclosure includes obtaining a first image from a camera while a vehicle on which the camera is driving, generating a prediction signal for predicting a sign of occurrence of White-Out from the first image, when a quantity of light which is a threshold brightness or higher from the first image, storing the first image during a first period when the prediction signal is generated, and predicting and correcting a second image based on the first image stored during the first period and a correction model, when the second image in which the White-Out occurs in the first image is detected on a specific time during the first period, and the correction model is a result of learning the second image by processing high dynamic range (HDR) image. At least one of the automatic driving vehicle according to the present disclosure, a user terminal and a server may be linked with artificial intelligence, robot, Augmented Reality (AR), virtual reality (VR), and the like."
16,16548747,2019.08.22,20190377360,2019.12.12,20190377360,2019.12.12,,,METHOD FOR ITEM DELIVERY USING AUTONOMOUS DRIVING VEHICLE,"G05D1/02,G08G1/127,H04W4/44,G06Q10/08","LG ELECTRONICS INC.,LG ELECTRONICS INC.","There is provided a method of delivering an item using an autonomous driving vehicle, including: receiving, from a server, a driving request signal for an item delivery service and controlling a vehicle to reach a location of a first terminal; providing a user of the first terminal with an item storage space, in a case where an authentication completion signal for the user of the first terminal is received from the server after the vehicle reaches the location of the first terminal; controlling the vehicle to reach the location of the second terminal, in a case where storage of the item is completed; and providing a user of the second terminal with the item, in a case where an authentication completion signal for the user of the second terminal is received from the server after the vehicle reaches the location of the second terminal."
17,17516129,2021.11.01,20220341739,2022.10.27,20220341739,2022.10.27,,,APPARATUS FOR GENERATING ROUTE OF AUTONOMOUS DRIVING VEHICLE AND METHOD FOR OFFERING SERVICE BY AUTONOMOUS DRIVING VEHICLE,"G01C21/34,G06Q10/04,G05D1/02,G06Q50/30,G06N3/02","HYUNDAI MOTOR COMPANY,Kia Corporation,HYUNDAI MOTOR COMPANY,Kia Corporation","An apparatus of generating a route of an autonomous driving vehicle may include an information obtaining device to obtain information on a road and information on a demand amount of the autonomous driving vehicle, and a controller to generate a map based on the information obtained from the information obtaining device and to generate a docking point based on the map."
18,17201412,2021.03.15,20210284193,2021.09.16,20210284193,2021.09.16,,,METHOD AND SYSTEM FOR AUTONOMOUS DRIVING OF A VEHICLE,"B60W60/00,G06K9/00,G06N3/08,G06K9/62",KOPERNIKUS AUTOMOTIVE GMBH,"The disclosure relates to a method for remote-controlled autonomous driving of a vehicle (  201  ) having the following method steps:  capturing the vehicle (  201  ) with the aid of at least one sensor, in particular camera, arranged in the surroundings of the vehicle (  201  ), determining a movement path for the vehicle (  201  ) by means of a processing device (  501  ) located outside the vehicle,  transmitting the movement path and/or control commands regarding the movement path to the vehicle (  201  ), and  implementing the movement path and/or the control commands in the vehicle (  201  ), in order to move the vehicle (  201  ) in accordance with the movement path."
19,16800125,2020.02.25,20210263157,2021.08.26,20210263157,2021.08.26,,,AUTOMATED LABELING SYSTEM FOR AUTONOMOUS DRIVING VEHICLE LIDAR DATA,"G01S17/89,G01S17/931,G01S17/86,G01S13/86,G06K9/00",Baidu USA LLC,A system and method for using high-end perception sensors such as high-end LIDARs to automatically label sensor data of low-end LIDARs of autonomous driving vehicles is disclosed. A perception system operating with a high-end LIDAR may process sensed data from the high-end LIDAR to detect objects and generate metadata of objects surrounding the vehicle. The confidence level of correctly identifying the objects using the high-end LIDAR may be further enhanced by fusing the data from the high-end LIDAR with data from other sensors such as cameras and radars. The method may use the detected objects and metadata of the detected objects processed from the data captured by the high-end LIDAR and other sensors as ground truth to label data of a same scene captured by a low-end LIDAR mounted on the vehicle. A neural network may use the labeled sensor data from the low-end LIDAR during offline supervised training.
20,16248214,2019.01.15,20200225676,2020.07.16,10915109,2021.02.09,10915109,2021.02.09,Control of autonomous vehicle based on pre-learned passenger and environment aware driving style profile,"G05D1/02,B60W40/09,G06N20/00,B60W50/00,G05D1/00",GM Global Technology Operations LLC,"A method for controlling a vehicle includes collecting data about human driving styles; machine learning how the human driver reacts to different traffic scenarios based on the collected data to create a plurality of human driving styles profiles; selecting an optimal driving profile of the plurality of human driving styles profiles, wherein the optimal driving profile is selected based feedback provided by a passenger of the vehicle, the feedback is indicative of a pleasantness of each of the plurality of human driving styles profiles; creating a driving plan based on the optimal driving profile; commanding the vehicle to execute the driving plan in a controlled environment to test the pleasantness of the optimal driving profile; and receiving a pleasantness rating from the passenger of the vehicle while the vehicle executes the driving plan."
21,17065910,2020.10.08,20210024346,2021.01.28,20210024346,2021.01.28,,,"METHOD, DEVICE AND SYSTEM FOR AUTOMATIC OILING OF LONG-DISTANCE TRANSPORT VEHICLE","B67D7/30,G01C21/34,G07C5/00,G05D1/00,G08G1/0968,B67D7/04,G08G1/0967,G08G1/00","Beijing Tusen Weilai Technology Co., Ltd.","The present application discloses a method, device and system for automatic oiling of a long-distance transport vehicle. The method provided by the present application includes: obtaining, by a transport planning system at a network side, vehicle status information, transport mission information and highway port information of the vehicle before the long-distance transport vehicle starts from a highway port of departure; generating a transport plan according to the vehicle status information, the transport mission information and the highway port information, wherein the transport plan comprises at least one highway port to be stopped at, cargo quantity to be loaded at each highway port to be stopped at and oil mass to be filled at each highway port to be stopped at; and sending the transport plan to the vehicle"
22,16783845,2020.02.06,,,11467579,2022.10.11,11467579,2022.10.11,Probabilistic neural network for predicting hidden context of traffic entities for autonomous vehicles,"G05D1/00,G06N7/00,G06N3/08,G05D1/02,B60W60/00","Perceptive Automata, Inc.",An autonomous vehicle uses probabilistic neural networks to predict hidden context attributes associated with traffic entities. The hidden context represents behavior of the traffic entities in the traffic. The probabilistic neural network is configured to receive an image of traffic as input and generate output representing hidden context for a traffic entity displayed in the image. The system executes the probabilistic neural network to generate output representing hidden context for traffic entities encountered while navigating through traffic. The system determines a measure of uncertainty for the output values. The autonomous vehicle uses the measure of uncertainty generated by the probabilistic neural network during navigation.
23,17187170,2021.02.26,20220274625,2022.09.01,20220274625,2022.09.01,,,GRAPH NEURAL NETWORKS WITH VECTORIZED OBJECT REPRESENTATIONS IN AUTONOMOUS VEHICLE SYSTEMS,"B60W60/00,G06N3/08,G06N3/04,B60W30/095,B60W50/00,B60W30/09","Zoox, Inc.,Zoox, Inc.","Techniques are discussed herein for generating and using graph neural networks (GNNs) including vectorized representations of map elements and entities within the environment of an autonomous vehicle. Various techniques may include vectorizing map data into representations of map elements, and object data representing entities in the environment of the autonomous vehicle. In some examples, the autonomous vehicle may generate and/or use a GNN representing the environment, including nodes stored as vectorized representations of map elements and entities, and edge features including the relative position and relative yaw between the objects. Machine-learning inference operations may be executed on the GNN, and the node and edge data may be extracted and decoded to predict future states of the entities in the environment."
24,16932680,2020.07.17,20210024090,2021.01.28,20210024090,2021.01.28,,,NEURAL NETWORK BASED PREDICTION OF HIDDEN CONTEXT OF TRAFFIC ENTITIES FOR AUTONOMOUS VEHICLES,"B60W60/00,G05D1/02,G06K9/46,G06K9/00,G06N3/08,G06N3/04","Perceptive Automata, Inc.",An autonomous vehicle uses machine learning based models such as neural networks to predict hidden context attributes associated with traffic entities. The hidden context represents behavior of the traffic entities in the traffic. The machine learning based model is configured to receive a video frame as input and output likelihoods of receiving user responses having particular ordinal values. The system uses a loss function based on cumulative histogram of user responses corresponding to various ordinal values. The system identifies user responses that are unlikely to be valid user responses to generate training data for training the machine learning mode. The system identifies invalid user responses based on response time of the user responses.
25,16783845,2020.02.06,20200249677,2020.08.06,20200249677,2020.08.06,,,PROBABILISTIC NEURAL NETWORK FOR PREDICTING HIDDEN CONTEXT OF TRAFFIC ENTITIES FOR AUTONOMOUS VEHICLES,"G05D1/00,G06N7/00,G06N3/08,G05D1/02,B60W60/00","Perceptive Automata, Inc.",An autonomous vehicle uses probabilistic neural networks to predict hidden context attributes associated with traffic entities. The hidden context represents behavior of the traffic entities in the traffic. The probabilistic neural network is configured to receive an image of traffic as input and generate output representing hidden context for a traffic entity displayed in the image. The system executes the probabilistic neural network to generate output representing hidden context for traffic entities encountered while navigating through traffic. The system determines a measure of uncertainty for the output values. The autonomous vehicle uses the measure of uncertainty generated by the probabilistic neural network during navigation.
26,16580201,2019.09.24,,,11427212,2022.08.30,11427212,2022.08.30,Autonomous driving control system for vehicle,"B60W50/038,B60R16/023,B60W50/02,G05D1/00,G07C5/08,B60W50/00",DENSO CORPORATION,"An autonomous driving control system is configured to perform autonomous driving of a vehicle. The autonomous driving control system includes: an electric power supply circuit including a plurality of electric power supplies, electric power supply lines respectively belonging to a plurality of systems and a relay device; a fault detector configured to detect a fault state of the relay device; an electric power supply controller configured to control the electric power supply circuit; and an autonomous driving control unit provided to control the autonomous driving of the vehicle. The autonomous driving control unit is configured to perform, upon detection by the fault detector of occurrence of a fault corresponding to a specific fault pattern in the relay device, a restricted autonomous driving control in which part of a control function of the autonomous driving is restricted compared to when no fault corresponding to the specific fault pattern is detected."
27,17248196,2021.01.13,,,11430466,2022.08.30,11430466,2022.08.30,Sound source detection and localization for autonomous driving vehicle,"H04B1/00,G10L25/51,H04R1/08,H04R1/40,G06N20/00,G06N5/04,G05D1/02,H04R3/00",Baidu USA LLC,"Systems and methods for sound source detection and localization utilizing an autonomous driving vehicle (ADV) are disclosed. The method includes receiving audio data from a number of audio sensors mounted on the ADV. The audio data comprises sounds captured by the audio sensors and emitted by one or more sound sources. Based on the received audio data, the method further includes determining a number of sound source information. Each sound source information comprises a confidence score associated with an existence of a specific sound. The method further includes generating a data representation to report whether there exists the specific sound within the driving environment of the ADV. The data representation comprises the determined sound source information. The received audio data and the generated data representation are utilized to subsequently train a machine learning algorithm to recognize the specific sound source during autonomous driving of the ADV in real-time."
28,17642367,2020.11.03,20220324440,2022.10.13,20220324440,2022.10.13,,,METHOD FOR OPERATING AN AUTONOMOUS DRIVING FUNCTION OF A VEHICLE,"B60W30/095,B60W60/00,B60W50/06",Robert Bosch GmbH,"A method for operating an autonomous driving function of a vehicle. The vehicle includes a computer unit and sensors for detecting surroundings data. The computer unit is configured to determine a setpoint trajectory for the vehicle, based on the detected surroundings data. In step a), an actual trajectory, and distances from objects in the surroundings, are detected. In step b), an ascertainment of the quality of the autonomous driving function takes place by comparing the actual trajectory to the setpoint trajectory and monitoring the detected distances from objects in the surroundings. In step c), a control of the quality to a predefined target value takes place by selecting sensors to be used for the autonomous driving function from the plurality of sensors and/or by changing a measuring rate, at which measurements are carried out, of at least one sensor from the plurality of sensors."
29,17678036,2022.02.23,20220266872,2022.08.25,20220266872,2022.08.25,,,MASS TRANSPORTATION VEHICLE AND DISPATCH MANAGEMENT DEVICE OF AUTONOMOUS VEHICLE,"B60W60/00,G01C21/36,G01C21/34,G06Q10/06",TOYOTA JIDOSHA KABUSHIKI KAISHA,A mass transportation vehicle includes a stop selector and a dispatcher. The stop selector is configured to enable a passenger on the mass transportation vehicle to select a destination stop at which the passenger plans to get off. The dispatcher is configured to book dispatch of an autonomous vehicle to which the passenger transfers after getting off the mass transportation vehicle at the destination stop. The dispatcher sends information about the destination stop to a dispatch management device of the autonomous vehicle as information about a waiting point of the autonomous vehicle.
30,17673788,2022.02.17,20220261707,2022.08.18,20220261707,2022.08.18,,,MANAGEMENT DEVICE OF AUTONOMOUS DRIVING VEHICLE,"G06Q10/02,G06Q30/02,G08G1/00,G08G1/01",TOYOTA JIDOSHA KABUSHIKI KAISHA,"The management device of an autonomous driving vehicle includes a congestion rate calculation unit and a waiting place setting unit. The congestion rate calculation unit is able to calculate the congestion rate of a parking lot adjoining each of a plurality of commercial facilities. In a case where the congestion rate of a neighbor parking lot, or a parking lot in the neighborhood of a boarding place contained in reservation information for an autonomous driving vehicle reserved for dispatch, during a waiting time period before the scheduled boarding time, is less than a congestion threshold, the waiting place setting unit sets the neighbor parking lot as a waiting place for the autonomous driving vehicle to wait during the waiting time period."
31,17534811,2021.11.24,20220204037,2022.06.30,20220204037,2022.06.30,,,METHOD AND APPARATUS FOR CREATING DRIVING ROUTE OF AUTONOMOUS VEHICLE AND COMPUTER PROGRAM THEREFOR,B60W60/00,"RideFlux Inc.,RideFlux Inc.","Provided are a method and apparatus for creating a driving route of an autonomous vehicle and a computer program therefor. A method of creating a driving route of an autonomous vehicle, the method being performed by a computing device, includes obtaining information about a start point and an end point, setting an intermediate point between the start point and the end point, and creating a driving route by connecting the start point, the set intermediate point, and the end point, wherein the driving route includes a set of a curve connecting the start point and the set intermediate point and a curve connecting the set intermediate point and the end point, is expressed by a polynomial function for an angle of movement of the autonomous vehicle, and satisfies one or more continuity conditions related to a curvature."
32,17248196,2021.01.13,20220223170,2022.07.14,20220223170,2022.07.14,,,SOUND SOURCE DETECTION AND LOCALIZATION FOR AUTONOMOUS DRIVING VEHICLE,"G10L25/51,H04R1/08,H04R1/40,H04R3/00,G06N20/00,G06N5/04,G05D1/02",Baidu USA LLC,"Systems and methods for sound source detection and localization utilizing an autonomous driving vehicle (ADV) are disclosed. The method includes receiving audio data from a number of audio sensors mounted on the ADV. The audio data comprises sounds captured by the audio sensors and emitted by one or more sound sources. Based on the received audio data, the method further includes determining a number of sound source information. Each sound source information comprises a confidence score associated with an existence of a specific sound. The method further includes generating a data representation to report whether there exists the specific sound within the driving environment of the ADV. The data representation comprises the determined sound source information. The received audio data and the generated data representation are utilized to subsequently train a machine learning algorithm to recognize the specific sound source during autonomous driving of the ADV in real-time."
33,17658072,2022.04.05,20220227392,2022.07.21,20220227392,2022.07.21,,,"VEHICLE CONTROL DEVICE, VEHICLE CONTROL METHOD, AND AUTOMATIC DRIVING METHOD","B60W60/00,B60W30/095,B60W40/04,B60W30/09,B60W30/14,B60W10/20,G06N3/08",DENSO CORPORATION,"In a vehicle control device, environmental information is acquired which is information about an environment in which a vehicle is placed. The environmental information precludes an obstacle around the vehicle. A possibility is estimated for potential proximity of the vehicle to the obstacle. A behavior of a predicted target moving object including the vehicle and at least one moving object around the vehicle is predicted based on the estimated possibility. A responsibility is determined for a potential accident that is assumed in response to the vehicle traveling on a candidate route that the vehicle travels."
34,16448497,2019.06.21,,,11327497,2022.05.10,11327497,2022.05.10,Autonomous transportation vehicle image augmentation,"G01C22/00,G05D1/00,G05D1/02,G01C21/36,G06N3/08,G06T19/00,B60W60/00","VOLKSWAGEN AG,AUDI AG,PORSCHE AG","Devices, systems, and methods related to autonomous transportation vehicle operation may include image augmentation arrangements for training and/or evaluating autonomous operations. Such augmentations may include artificial impressions of driving conditions which can prompt recovery operations."
35,17669325,2022.02.10,20220165100,2022.05.26,20220165100,2022.05.26,,,INTERVENTION IN OPERATION OF A VEHICLE HAVING AUTONOMOUS DRIVING CAPABILITIES,"G07C5/00,G05D1/00,G06N20/00,G06N5/00",Motional AD LLC,"Among other things, a determination is made that intervention in an operation of one or more autonomous driving capabilities of a vehicle is appropriate. Based on the determination, a person is enabled to provide information for an intervention. The intervention is caused in the operation of the one or more autonomous driving capabilities of the vehicle."
